name,anime_count_score,shared_10s_score,global_user_mean_diff_score,user_mean_diff_score,pearson_score,final_score
SnickarenGreen,33.95549428466137,11.25,-1.6701930706162358,-3.785425101214585,58.68782959257139,98.43770570540194
Kevyen,29.0597040445317,22.5,-4.513831292384253,-2.2330097087378675,53.60436739647504,98.41723043988462
Rystal,37.35102102577902,18.75,-4.800536980933558,-0.6678700361010783,47.742661261510136,98.37527527025452
wazzzz,21.096388244741295,15.0,-5.0,-1.1805555555555571,68.41420121321767,98.3300339024034
Exodor,40.9038133301558,15.0,-4.632841627492297,-0.8387096774193594,47.7819256124441,98.21418763768824
Impognagrift,31.84242255755852,11.25,-3.612275350551883,-1.2663755458515311,59.95402463522149,98.1677962963766
dresenpai28,26.94328957228037,22.5,-2.280051048895274,-10.0,60.9317376698569,98.09497619324199
fouinejunior,48.45101084800572,7.5,-2.5310661836313386,-1.9896640826873409,46.65662151390554,98.08690209559259
Salty12,41.425455958735256,18.75,-2.438781207625439,-3.365079365079353,43.51768150433048,97.88927689036095
Nicodeamus,41.63288548753503,15.0,-1.3281708225671025,-0.6940063091482642,43.22298137063492,97.83368972645458
Ruinedhead61,33.723514303221506,11.25,-3.651933135063075,-2.7959183673469425,59.046672430551496,97.57233523136298
CyanNyan,42.455589187694116,18.75,-2.883958252802472,-8.384615384615387,47.629500374713594,97.56651592498986
Cania345,40.58872342849612,11.25,-4.892377195423379,-1.3485342019544078,51.9462656203485,97.54407765146684
DrakoNux,20.962423815481298,18.75,-5.0,-6.92307692307692,69.70652757019178,97.49587446259616
WhaleCostume,42.25096542491035,15.0,-2.4751466309877657,-4.829721362229094,47.4151263217789,97.36122375347239
gurrenlagging,39.63398426321305,22.5,-4.511062021516977,-10.0,49.700611098145956,97.32353333984203
Hyliaforce,22.161790705285217,7.5,-5.0,-10.0,82.64049025126593,97.30228095655114
PRIME47,29.794573992323418,11.25,-4.944771024936003,-4.481132075471706,65.6706531754693,97.28932406738501
Math0r,37.90159811639857,11.25,-4.917673473751748,-2.6737588652482174,55.7063769031281,97.2665426805267
TrashTaste02,17.556320961781267,7.5,-5.0,-0.4152542372881385,77.6210934682762,97.26216019276933
Chunz,25.929793783032622,15.0,-3.0921180488075777,-10.0,69.41477255213766,97.25244828636271
OtakuSenseiHig,41.94271457791469,18.75,-3.7039101758794004,-1.2593750000000057,41.50611060788799,97.23554000992328
FalseShepherd13,30.885042088630968,11.25,-5.0,-5.466063348416284,65.55213547045565,97.22111421067034
VipertheEdgyWeeb,16.861948362841215,7.5,-2.1149997776493166,-1.858407079646014,76.82688639266154,97.21542789820742
Satori,33.490832880277644,15.0,-4.699216245838244,-1.1687242798353878,54.57905828475485,97.20195063935887
soundlinked,30.28098008333123,15.0,-5.0,-0.18518518518519045,57.10351141331459,97.19930631146063
BEOrophin,55.34511183560705,22.5,-2.5797430650052036,-4.174840085287848,26.02774420848337,97.11827289379735
Naizuri,24.905074929720836,15.0,-2.909925349289807,-6.040462427745666,66.16068942571229,97.11537657839766
NishikinoMaki,48.08455125418234,7.5,-0.2059907894564219,-10.0,51.73644899067717,97.11500945540308
NotVeryCreative,37.24037952652711,18.75,-5.0,-0.12681159420290555,46.250848489402244,97.11441642172645
akaDry,50.06535766576286,22.5,-3.147775916620148,-8.345679012345684,35.80809731651397,96.880000053311
TheWolfOfMars,41.94271457791469,11.25,-0.9539101758794004,-10.0,54.61400250090599,96.85280690294128
Yabus,24.776195951364862,11.25,-5.0,-2.616279069767444,68.40040597574826,96.81032285734568
Medieval,17.417797162745256,22.5,-5.0,-7.410256410256409,69.21242944743503,96.71997019992388
Wakadoobi,34.76190036785687,7.5,-2.1353816325723187,-5.2165354330708595,61.8059488343948,96.71593213660849
GrimBuffalo,13.1805406168247,11.25,-5.0,-9.655172413793096,86.89316526581278,96.66853346884439
Utz,35.78608224203618,15.0,-4.296769016183589,-10.0,60.16028176667011,96.64959499252271
ar1su,26.564543854132474,7.5,-4.122088939320264,-1.2634408602150557,67.83954451858484,96.51855857318199
MonkeyDPedro,30.764580408323017,15.0,-5.0,-0.02272727272728048,55.709381014959725,96.45123415055545
AFB,19.20492844088533,11.25,-5.0,-0.8461538461538538,71.82535877042753,96.434133365159
BeyondB,41.63288548753503,15.0,-4.2146061537973765,-1.8138801261829656,45.753270422450505,96.35766963000519
NotWeeb,34.8763997953808,15.0,-2.740368509212729,-8.411764705882362,57.48402033851872,96.20828691880442
daveonater,23.738851150981034,11.25,-2.504596151489153,-0.7926829268292579,64.4646856984152,96.15625777107782
Nullllllllllllll,14.183350321140878,7.5,-5.0,-5.6382978723404165,85.04531524702762,96.09036769582808
Huntson,44.16657047063205,11.25,-2.430426988744898,-9.590643274853804,52.65910222564837,96.05460243268172
Hawkvy,23.869133012345014,7.5,-3.683873915029693,-10.0,78.32873721710479,96.01399631442011
DAP,34.30214905400116,11.25,-2.747035175879404,-8.239999999999995,61.44770565198064,96.0128195301024
Amni,19.34117255503333,18.75,-4.918485557558796,-7.3664122137404675,70.10905591339265,95.91533069712672
bonelesssenpai,24.51791191352491,11.25,-4.318799881761748,-10.0,74.45383796112009,95.90294999288325
AnimeJumpz,17.83284247872528,11.25,-5.0,-7.333333333333329,79.14003958932352,95.88954873471548
Mason557,31.365135206102742,7.5,-1.7262981574539324,-10.0,68.7200551915362,95.85889224018501
Aqota,40.69392875609201,15.0,-2.689502708346936,-10.0,52.80778037880302,95.8122064265481
SebaWicle96,56.774267198303065,15.0,-2.8824450119449807,-6.516393442622942,33.23730068936318,95.61272943309832
zombiepegasus,42.35336498649023,22.5,-3.5829611018053242,-2.978395061728392,37.310703273273006,95.60271209622951
imnap,30.03812775857933,15.0,-3.322923026346686,-1.4626168224299079,55.18243678415813,95.43502469396086
Hino,18.658198380533317,7.5,-4.224495493339717,-3.055555555555557,76.51563974173025,95.3937870733683
Yatogami11,22.953477414901137,11.25,-4.856402264487002,-3.3354430379746702,69.34105356158479,95.35268567402426
kom,19.884395407865334,22.5,-5.0,-2.7037037037036953,60.612998422661576,95.29369012682321
ShinobuAnime,50.677815173101685,15.0,-0.7046153095574894,-10.0,40.273943569637154,95.24714343318136
SayenBR,11.149143232920252,7.5,-5.0,-4.109589041095887,85.66418276877181,95.20373696059617
DannyMango,31.365135206102742,7.5,-5.0,-0.86666666666666,62.119960091064634,95.11842863050072
Anoru,34.18677282459723,11.25,-5.0,-8.240963855421683,62.71074833915651,94.90655730833205
nishishi,41.63288548753503,18.75,-1.0127134093178825,-10.0,45.500157733307816,94.87032981152495
Burritosauce,21.76357998540125,7.5,-5.0,-6.77852348993288,77.34536076631386,94.83041726178223
Olympos,51.87695221250726,15.0,-0.09248118526907234,-10.0,38.0245371880152,94.8090082152534
yuniversalbear,11.441447183704327,15.0,-5.0,-0.47999999999998977,73.81480807485136,94.7762552585557
ImChan,33.723514303221506,15.0,-4.182545379961027,-2.351020408163265,52.56835349008218,94.75830200517939
Maji,47.24975858608368,7.5,-1.9417945341681673,-10.0,51.891865441112486,94.699829493028
Attackonfiller,22.558423181785184,18.75,-3.4392932403955285,-6.258064516129039,63.08853515341919,94.6996005786798
Sniparook,40.58872342849612,18.75,-4.713224100960829,-3.648208469055376,43.700807545327265,94.67809840380718
aquamancrybaby,51.96128965535908,15.0,-0.03324585456556406,-5.245901639344268,32.88819718062407,94.57033934207331
TheWindSpring,37.68189336127875,22.5,-1.710606604450831,-10.0,46.09108876841674,94.56237552524466
M1xY,36.79605992575945,7.5,-0.6349763523499945,-1.8382352941176379,52.66028811381516,94.48313639310697
